title#,word,tag
1,adidas,BRAND
1,Originals,BRAND
1,-,0
1,Superstar,0
1,-,0
1,Valkoinen,0
1,-,0
1,US,0
1,"5,5",0
2,Sc-Erna,O
2,Polvipituinen,O
2,Hame,O
2,Sininen,O
2,Soyaconcept,BRAND
3,Dana,BRAND
3,Buchman,BRAND
3,Silmälasit,0
3,Taren,0
3,CARAMEL,0
3,TORTOISE,0
4,Active,O
4,Sports,O
4,Woven,O
4,Shorts,O
4,B,O
4,Shortsit,O
4,Musta,O
4,PUMA,BRAND
5,Renata,O
5,Polvipituinen,O
5,Hame,O
5,Musta,O
5,Fall,BRAND
5,Winter,BRAND
5,Spring,BRAND
5,Summer,BRAND
6,Salo,O
6,M,O
6,Technical,O
6,Polo,O
6,Polos,O
6,Short-sleeved,O
6,Sininen,O
6,Halti,BRAND
7,Tennarit,O
7,ML850C,O
7,L850CD,0
8,G9,O
8,Orange,O
8,Shin,O
8,nge,0
8,Shiny,0
9,Diesel,BRAND
9,Aurinkolasit,0
9,DL0076,0
9,90G,0
10,Dotti,O
10,Tyyny,O
10,50x50cm,O
10,",",O
10,Mi,O
10,ti,0
10,Tyyny,0
10,50x50cm,0
10,",",0
10,Mix,0
11,Kengät,O
11,Jonak,BRAND
11,DIDLANEO,0
12,Lyhyt,O
12,mekko,O
12,See,BRAND
12,U,BRAND
12,Soon,BRAND
12,SANTINE,0
13,Dsquared2,BRAND
13,Silmälasit,0
13,DQ5126,0
13,072,0
14,Stussy,BRAND
14,-,0
14,Basic,0
14,Tee,0
14,-,0
14,Musta,0
14,-,0
14,M,0
15,Kengät,O
15,Grisport,BRAND
15,Nero,0
15,Dakar,0
15,10309D109G,0
16,Vredestein,BRAND
16,AW,0
16,(,0
16,15.0/55,0
16,-17,0
16,134A8,0
16,TL,0
16,),0
17,Ryders,BRAND
17,Aurinkolasit,0
17,TRAPPER,0
17,R02502A,0
18,Farah,BRAND
18,Silmälasit,0
18,FHO,0
18,1011,0
18,113,0
19,F-7301,O
19,Korolliset,O
19,Sandaalit,O
19,Ruskea,O
19,Wonders,BRAND
20,G4,O
20,PRO,O
20,White,O
20,mirro,O
20,White,0
20,mirror,0
21,Tennarit,O
21,CTALYMS,O
21,TALYMSI,0
22,Sukat,O
22,Bamboo,O
22,Socks,O
22,",",O
22,5,O
22,pari,O
22,at,0
22,Bamboo,0
22,Socks,0
22,",",0
22,5,0
22,paria,0
23,Cazal,BRAND
23,Silmälasit,0
23,4267,0
23,004,0
24,13294,O
24,Bags,O
24,Small,O
24,Shoulder,O
24,Bags,O
24,-,O
24,Crossbody,O
24,Bags,O
24,Kermanvärinen,O
24,DEPECHE,BRAND
25,Madina,O
25,W,O
25,Tee,O
25,T-shirts,O
25,&,O
25,Tops,O
25,Short-sleeved,O
25,Musta,O
25,8848,BRAND
25,Altitude,BRAND
26,Superdry,BRAND
26,Aurinkolasit,0
26,SDS,0
26,YATOMI,0
26,006,0
27,Burberry,BRAND
27,Aurinkolasit,0
27,BE4181,0
27,300187,0
28,Ray,O
28,Kattovalaisin,O
28,",",O
28,Large,O
28,",",O
28,Valkoine,O
28,isin,0
28,",",0
28,Large,0
28,",",0
28,Valkoinen,0
29,Paradigm,BRAND
29,Aurinkolasit,0
29,19-30,0
29,Rose,0
29,Gold,0
30,General,BRAND
30,Tractor,0
30,V.Ply,0
30,(,0
30,20.8,0
30,-38,0
30,151A6,0
30,10PR,0
30,TT,0
30,),0
31,Sola,O
31,Dress,O
31,Polvipituinen,O
31,Mekko,O
31,Kermanvärinen,O
31,Résumé,BRAND
32,Helix,O
32,teekannu,O
32,ruostumaton,O
32,teräs,O
32,1,O
32,nnu,0
32,ruostumaton,0
32,teräs,0
32,1,0
32,l,0
33,False,O
33,Lash,O
33,Effect,O
33,Velvet,O
33,Volume,O
33,Mascara,O
33,",",O
33,Blac,O
33,h,0
33,Effect,0
33,Velvet,0
33,Volume,0
33,Mascara,0
33,",",0
33,Black,0
34,False,O
34,Lash,O
34,Effect,O
34,Velvet,O
34,Volume,O
34,Mascara,O
34,",",O
34,Black/B,O
34,h,0
34,Effect,0
34,Velvet,0
34,Volume,0
34,Mascara,0
34,",",0
34,Black/Br,0
35,ROK,O
35,Merino,O
35,Gloves,O
35,Musta,O
35,L/X,O
35,rino,0
35,Gloves,0
35,Musta,0
35,L/XL,0
36,Diesel,BRAND
36,Silmälasit,0
36,DL5067,0
36,001,0
37,Small,O
37,Eye,O
37,Shadow,O
37,Beauty,O
37,WOMEN,O
37,Makeup,O
37,Eyes,O
37,Eyeshadow,O
37,-,O
37,Not,O
37,Palettes,O
37,Ruskea,O
37,M.A.C,BRAND
37,.,BRAND
38,Kengät,O
38,Victoria,BRAND
38,BERLIN,0
38,PIEL,0
39,Capsule,O
39,Wool,O
39,Tights,O
39,Sukkahousut,O
39,Valkoinen,O
39,Mp,BRAND
39,Denmark,BRAND
40,Norden,O
40,2,O
40,osainen,O
40,veitsisett,O
40,2,0
40,osainen,0
40,veitsisetti,0
41,Marshmallow,O
41,Hearts,O
41,Bath,O
41,&,O
41,Shower,O
41,Gel,O
41,500,O
41,m,O
41,w,0
41,Hearts,0
41,Bath,0
41,&,0
41,Shower,0
41,Gel,0
41,500,0
41,ml,0
42,Rodebjer,BRAND
42,Nevaeh,0
42,Leveälahkeiset,0
42,Housut,0
42,Ruskea,0
42,RODEBJER,0
43,Wet,BRAND
43,n,BRAND
43,Wild,BRAND
43,Angled,0
43,Liner,0
43,Brush,0
44,Stella,O
44,",",O
44,Shw,O
44,",",O
44,Brief,O
44,Bikinialaosa,O
44,Sininen,O
44,Zizzi,BRAND
45,Mom,O
45,Jean,O
45,Jeans,O
45,Mom,O
45,Jeans,O
45,Sininen,O
45,Calvin,BRAND
45,Klein,BRAND
45,Jeans,BRAND
46,G15,O
46,Black,O
46,Ma,O
46,ack,0
46,Mat,0
47,Colby,O
47,Sneaker,O
47,Matalavartiset,O
47,Sneakerit,O
47,Tennarit,O
47,Musta,O
47,Michael,BRAND
47,Kors,BRAND
47,Shoes,BRAND
48,D-Bazer,O
48,Farkut,O
48,Sininen,O
48,Diesel,BRAND
48,Men,BRAND
49,Lecco,O
49,80,O
49,T-shirts,O
49,Short-sleeved,O
49,Valkoinen,O
49,BOSS,BRAND
50,SENOA,O
50,Style,O
50,Sähkögrilli,O
50,jalustall,O
50,Style,0
50,Sähkögrilli,0
50,jalustalla,0
51,G12,O
51,Black,O
51,Shiny,O
51,Polarize,O
51,ack,0
51,Shiny,0
51,Polarized,0
52,Suoja,O
52,Box,O
52,Kaasugrillii,O
52,ox,0
52,Kaasugrilliin,0
53,Verpan,BRAND
53,-Fun,0
53,1DM,0
53,Riippuvalaisin,0
54,Lyhyt,O
54,mekko,O
54,Betty,BRAND
54,London,BRAND
54,LADY,0
